COUNTY,INDEXYEAR,LOCATION,POPULATION,TOTAL,RATE,PRSNTOTAL,PRSNRATE,MURDER,MANSLAUGHTER,FORCIBLE_SEX,ASSAULT,NON_FORCIBLE_SEX,KIDNAPPING_ABDUCTION,HUMAN_TRAFFICKING,VIOL_OF_NO_CONTACT,PRPRTYTOTAL,PRPRTYRATE,ARSON,BRIBERY,BURGLARY,COUNTERFEITING_FORGERY,DESTRUCTION_OF_PROPERTY,EXTORTION_BLACKMAIL,ROBBERY,THEFT,SCTYTOTAL,SCTYRATE,DRUG_VIOLATIONS,GAMBLING_VIOLATIONS,PORNOGRAPHY,PROSTITUTION,WEAPON_LAW_VIOLATION,ANIMAL_CRUELTY
BENTON,2016,Prosser Police Department,5940,310,52.19,94,15.82,0,0,2,74,0,1,1,16,172,28.96,2,0,24,2,36,0,0,108,44,7.41,38,0,1,0,5,0
BENTON,2017,Prosser Police Department,5969,433,72.54,117,19.6,0,0,8,90,0,4,0,15,245,41.05,0,0,42,0,76,0,1,126,71,11.89,63,0,0,0,8,0
BENTON,2018,Prosser Police Department,6125,480,78.37,91,14.86,0,0,3,77,0,0,0,11,296,48.33,0,0,52,3,92,0,0,149,93,15.18,84,0,0,1,8,0
BENTON,2019,Prosser Police Department,6152,465,75.59,99,16.09,0,0,2,75,0,1,0,21,242,39.34,2,0,38,9,80,0,2,111,124,20.16,117,0,1,0,6,0
BENTON,2020,Prosser Police Department,6220,400,64.31,82,13.18,0,1,2,53,0,1,0,25,242,38.91,1,0,19,10,51,0,3,158,76,12.22,68,0,2,0,4,2
BENTON,2012,Richland Police Department,49901,3414,68.42,696,13.95,0,0,52,505,2,6,0,131,2175,43.59,10,0,192,33,564,1,13,1362,543,10.88,489,0,7,1,46,0
BENTON,2013,Richland Police Department,51150,2807,54.88,616,12.04,3,0,41,475,0,5,0,92,1932,37.77,5,0,199,34,480,0,11,1203,259,5.06,210,0,6,0,43,0
BENTON,2014,Richland Police Department,52090,2868,55.06,645,12.38,0,0,52,454,1,10,0,128,1958,37.59,7,0,172,26,455,0,13,1285,265,5.09,194,0,10,1,60,0
BENTON,2015,Richland Police Department,53089,2954,55.64,621,11.7,0,0,40,422,0,15,0,144,2117,39.88,6,0,236,35,459,1,6,1374,216,4.07,175,0,5,4,32,0
BENTON,2016,Richland Police Department,53410,2958,55.38,592,11.08,1,0,39,419,1,5,1,126,2099,39.3,6,0,178,31,447,1,11,1425,267,5,201,1,10,9,46,0
BENTON,2017,Richland Police Department,54155,3112,57.46,750,13.85,0,0,69,514,3,16,1,147,2043,37.73,5,0,186,25,375,4,14,1434,319,5.89,224,0,15,14,64,2
BENTON,2018,Richland Police Department,55320,3269,59.09,848,15.33,0,0,47,604,1,12,3,181,2135,38.59,7,0,182,38,400,6,18,1484,286,5.17,212,0,15,3,51,5
BENTON,2019,Richland Police Department,56850,3283,57.75,821,14.44,2,0,51,598,2,12,0,156,2077,36.53,10,0,203,44,411,4,9,1396,385,6.77,306,0,17,4,54,4
BENTON,2020,Richland Police Department,58550,4341,74.14,991,16.93,3,3,78,699,1,23,0,184,2995,51.15,5,0,285,29,510,16,20,2130,355,6.06,267,0,20,2,58,8
BENTON,2012,West Richland Police Department,12570,489,38.9,147,11.69,0,0,11,100,2,3,0,31,291,23.15,1,0,42,2,100,0,1,145,51,4.06,42,0,0,0,9,0
BENTON,2013,West Richland Police Department,13080,404,30.89,121,9.25,0,0,16,83,0,4,0,18,261,19.95,1,0,34,4,75,0,1,146,22,1.68,17,0,0,0,5,0
BENTON,2014,West Richland Police Department,13620,542,39.79,111,8.15,0,0,7,82,1,3,0,18,399,29.3,0,0,56,1,95,0,0,247,32,2.35,24,0,1,0,7,0
BENTON,2015,West Richland Police Department,13960,479,34.31,143,10.24,0,0,13,94,0,2,0,34,309,22.13,1,0,31,3,98,0,1,175,27,1.93,21,0,0,0,6,0
BENTON,2016,West Richland Police Department,14340,444,30.96,145,10.11,0,0,8,99,1,3,0,34,267,18.62,0,0,32,4,87,0,0,144,32,2.23,27,0,1,0,4,0
BENTON,2017,West Richland Police Department,14660,472,32.2,128,8.73,0,0,8,99,1,0,1,19,313,21.35,0,0,57,5,82,2,1,166,31,2.11,26,0,0,0,2,3
BENTON,2018,West Richland Police Department,15320,447,29.18,133,8.68,1,0,5,92,2,2,0,31,256,16.71,1,0,21,2,83,1,1,147,58,3.79,44,0,2,0,11,1
BENTON,2019,West Richland Police Department,15340,506,32.99,144,9.39,0,0,11,106,0,3,0,24,296,19.3,2,1,24,15,104,2,1,147,66,4.3,54,0,1,0,9,2
BENTON,2020,West Richland Police Department,15710,704,44.81,142,9.04,0,0,7,98,1,0,0,36,518,32.97,1,0,62,1,95,0,0,359,44,2.8,34,0,4,0,4,2
CHELAN,2012,COUNTY TOTAL,40800,1349,33.1,355,8.7,1,0,10,269,1,3,0,71,872,21.4,0,0,179,10,201,0,6,476,122,3,104,0,0,0,18,0
CHELAN,2013,COUNTY TOTAL,73600,3638,49.4,894,12.1,1,0,46,625,4,1,0,217,2408,32.7,9,0,297,75,415,1,14,1597,336,4.6,276,0,2,1,57,0
CHELAN,2014,COUNTY TOTAL,74308,3233,43.5,800,10.8,0,0,46,557,4,5,0,188,2014,27.1,5,1,350,43,244,2,16,1353,419,5.6,368,0,2,1,48,0
CHELAN,2015,COUNTY TOTAL,75030,3616,48.2,889,11.8,0,0,42,638,3,1,0,205,2289,30.5,6,1,372,60,291,1,8,1550,438,5.8,389,0,1,0,48,0
CHELAN,2016,COUNTY TOTAL,75986,3756,49.4,913,12,0,1,39,645,8,19,1,200,2338,30.8,7,0,364,39,267,1,15,1645,505,6.6,426,0,4,9,66,0
CHELAN,2017,COUNTY TOTAL,76837,3221,41.9,819,10.7,2,0,42,592,11,20,1,151,1922,25,8,0,298,75,250,2,20,1269,480,6.2,407,0,0,15,54,4
CHELAN,2018,COUNTY TOTAL,77800,3373,43.4,942,12.1,0,0,51,686,6,29,0,170,1931,24.8,6,0,240,70,254,3,18,1340,500,6.4,431,0,5,0,63,1
CHELAN,2019,COUNTY TOTAL,78463,3051,38.9,857,10.9,1,0,38,600,4,11,0,203,1605,20.5,1,0,175,45,268,2,11,1103,589,7.5,537,0,2,1,47,2
CHELAN,2020,COUNTY TOTAL,79665,3021,37.9,792,9.9,2,0,34,538,7,18,0,193,1823,22.9,4,0,170,40,320,0,9,1280,406,5.1,345,0,2,1,57,1
CHELAN,2012,Chelan County Sheriffs Office,40800,1349,33.06,355,8.7,1,0,10,269,1,3,0,71,872,21.37,0,0,179,10,201,0,6,476,122,2.99,104,0,0,0,18,0
CHELAN,2013,Chelan County Sheriffs Office,41080,1181,28.75,405,9.86,0,0,10,293,2,0,0,100,683,16.63,0,0,143,24,131,0,3,382,93,2.26,80,0,0,0,13,0
CHELAN,2014,Chelan County Sheriffs Office,41230,1067,25.88,358,8.68,0,0,10,264,1,4,0,79,604,14.65,0,0,165,15,131,1,1,291,105,2.55,86,0,0,0,19,0
CHELAN,2015,Chelan County Sheriffs Office,41800,1137,27.2,326,7.8,0,0,8,244,0,0,0,74,705,16.87,2,0,188,17,89,0,1,408,106,2.54,96,0,0,0,10,0
CHELAN,2016,Chelan County Sheriffs Office,42436,1282,30.21,332,7.82,0,1,5,250,0,6,0,70,800,18.85,1,0,191,13,60,0,2,533,150,3.53,124,0,0,0,26,0
CHELAN,2017,Chelan County Sheriffs Office,42766,1177,27.52,319,7.46,1,0,9,240,3,5,0,61,695,16.25,1,0,172,26,47,1,4,444,163,3.81,126,0,0,10,25,2
CHELAN,2018,Chelan County Sheriffs Office,43270,1194,27.59,393,9.08,0,0,11,300,1,15,0,66,614,14.19,1,0,134,31,37,0,1,410,187,4.32,157,0,0,0,30,0
CHELAN,2019,Chelan County Sheriffs Office,43770,1059,24.19,381,8.7,0,0,9,263,2,8,0,99,487,11.13,0,0,93,10,48,0,0,336,191,4.36,166,0,0,1,24,0
CHELAN,2020,Chelan County Sheriffs Office,44520,1020,22.91,296,6.65,1,0,8,200,3,5,0,79,605,13.59,1,0,88,16,31,0,3,466,119,2.67,101,0,0,1,17,0
CHELAN,2013,Wenatchee Police Department,32520,2457,75.55,489,15.04,1,0,36,332,2,1,0,117,1725,53.04,9,0,154,51,284,1,11,1215,243,7.47,196,0,2,1,44,0
