County Name/State Abbreviation,Year,Labor Force,Employed,Unemployed,Unemployment Rate
"Mohave County, AZ",2019,"84,582     ","79,636     ","4,946     ",5.8     
"Navajo County, AZ",2019,"39,489     ","36,514     ","2,975     ",7.5     
"Pima County, AZ",2019,"482,457     ","460,572     ","21,885     ",4.5     
"Pinal County, AZ",2019,"184,133     ","174,883     ","9,250     ",5.0     
"Santa Cruz County, AZ",2019,"19,009     ","17,356     ","1,653     ",8.7     
"Yavapai County, AZ",2019,"103,311     ","98,601     ","4,710     ",4.6     
"Yuma County, AZ",2019,"97,138     ","80,826     ","16,312     ",16.8     
"Arkansas County, AR",2019,"9,481     ","9,204     ",277     ,2.9     
"Ashley County, AR",2019,"7,707     ","7,300     ",407     ,5.3     
"Baxter County, AR",2019,"16,330     ","15,690     ",640     ,3.9     
"Benton County, AR",2019,"139,195     ","135,616     ","3,579     ",2.6     
"Boone County, AR",2019,"16,070     ","15,570     ",500     ,3.1     
"Bradley County, AR",2019,"4,482     ","4,301     ",181     ,4.0     
"Calhoun County, AR",2019,"2,437     ","2,332     ",105     ,4.3     
"Carroll County, AR",2019,"12,830     ","12,439     ",391     ,3.0     
"Chicot County, AR",2019,"3,254     ","3,034     ",220     ,6.8     
"Clark County, AR",2019,"9,703     ","9,341     ",362     ,3.7     
"Clay County, AR",2019,"5,674     ","5,403     ",271     ,4.8     
"Cleburne County, AR",2019,"9,230     ","8,823     ",407     ,4.4     
"Cleveland County, AR",2019,"3,245     ","3,121     ",124     ,3.8     
"Columbia County, AR",2019,"9,206     ","8,806     ",400     ,4.3     
"Conway County, AR",2019,"8,300     ","7,950     ",350     ,4.2     
"Craighead County, AR",2019,"56,221     ","54,685     ","1,536     ",2.7     
"Crawford County, AR",2019,"26,910     ","26,036     ",874     ,3.2     
"Crittenden County, AR",2019,"21,249     ","20,362     ",887     ,4.2     
"Cross County, AR",2019,"7,407     ","7,102     ",305     ,4.1     
"Dallas County, AR",2019,"2,827     ","2,699     ",128     ,4.5     
"Desha County, AR",2019,"5,410     ","5,175     ",235     ,4.3     
"Drew County, AR",2019,"7,834     ","7,437     ",397     ,5.1     
"Faulkner County, AR",2019,"62,970     ","61,129     ","1,841     ",2.9     
"Franklin County, AR",2019,"7,528     ","7,282     ",246     ,3.3     
"Fulton County, AR",2019,"4,983     ","4,788     ",195     ,3.9     
"Garland County, AR",2019,"41,490     ","39,983     ","1,507     ",3.6     
"Grant County, AR",2019,"8,432     ","8,170     ",262     ,3.1     
"Greene County, AR",2019,"20,067     ","19,385     ",682     ,3.4     
"Hempstead County, AR",2019,"9,925     ","9,555     ",370     ,3.7     
"Hot Spring County, AR",2019,"14,063     ","13,565     ",498     ,3.5     
"Howard County, AR",2019,"5,691     ","5,511     ",180     ,3.2     
"Independence County, AR",2019,"16,586     ","15,940     ",646     ,3.9     
"Izard County, AR",2019,"4,907     ","4,645     ",262     ,5.3     
"Jackson County, AR",2019,"5,814     ","5,443     ",371     ,6.4     
"Jefferson County, AR",2019,"27,665     ","26,188     ","1,477     ",5.3     
"Johnson County, AR",2019,"10,279     ","9,820     ",459     ,4.5     
"Lafayette County, AR",2019,"2,458     ","2,347     ",111     ,4.5     
"Lawrence County, AR",2019,"6,842     ","6,566     ",276     ,4.0     
"Lee County, AR",2019,"2,824     ","2,700     ",124     ,4.4     
"Lincoln County, AR",2019,"3,903     ","3,738     ",165     ,4.2     
"Little River County, AR",2019,"5,529     ","5,297     ",232     ,4.2     
"Logan County, AR",2019,"8,530     ","8,168     ",362     ,4.2     
"Lonoke County, AR",2019,"34,281     ","33,199     ","1,082     ",3.2     
"Madison County, AR",2019,"7,411     ","7,225     ",186     ,2.5     
"Marion County, AR",2019,"6,668     ","6,407     ",261     ,3.9     
"Miller County, AR",2019,"19,751     ","18,959     ",792     ,4.0     
"Mississippi County, AR",2019,"17,384     ","16,518     ",866     ,5.0     
"Monroe County, AR",2019,"2,755     ","2,640     ",115     ,4.2     
"Montgomery County, AR",2019,"2,980     ","2,845     ",135     ,4.5     
"Nevada County, AR",2019,"3,655     ","3,514     ",141     ,3.9     
"Newton County, AR",2019,"3,323     ","3,209     ",114     ,3.4     
"Ouachita County, AR",2019,"9,846     ","9,351     ",495     ,5.0     
"Perry County, AR",2019,"4,313     ","4,141     ",172     ,4.0     
"Phillips County, AR",2019,"6,361     ","5,992     ",369     ,5.8     
"Pike County, AR",2019,"4,248     ","4,089     ",159     ,3.7     
"Poinsett County, AR",2019,"10,037     ","9,698     ",339     ,3.4     
"Polk County, AR",2019,"8,079     ","7,748     ",331     ,4.1     
"Pope County, AR",2019,"29,068     ","27,848     ","1,220     ",4.2     
"Prairie County, AR",2019,"3,611     ","3,459     ",152     ,4.2     
"Pulaski County, AR",2019,"189,699     ","183,378     ","6,321     ",3.3     
"Randolph County, AR",2019,"7,313     ","7,036     ",277     ,3.8     
"St. Francis County, AR",2019,"8,193     ","7,781     ",412     ,5.0     
"Saline County, AR",2019,"59,554     ","57,919     ","1,635     ",2.7     
"Scott County, AR",2019,"4,331     ","4,188     ",143     ,3.3     
"Searcy County, AR",2019,"2,908     ","2,779     ",129     ,4.4     
"Sebastian County, AR",2019,"56,835     ","55,011     ","1,824     ",3.2     
"Sevier County, AR",2019,"5,526     ","5,267     ",259     ,4.7     
"Sharp County, AR",2019,"5,762     ","5,483     ",279     ,4.8     
"Stone County, AR",2019,"4,738     ","4,519     ",219     ,4.6     
"Union County, AR",2019,"15,796     ","14,989     ",807     ,5.1     
"Van Buren County, AR",2019,"5,781     ","5,500     ",281     ,4.9     
"Washington County, AR",2019,"125,000     ","121,989     ","3,011     ",2.4     
"White County, AR",2019,"33,937     ","32,452     ","1,485     ",4.4     
"Woodruff County, AR",2019,"2,770     ","2,628     ",142     ,5.1     
"Yell County, AR",2019,"8,391     ","8,063     ",328     ,3.9     
"Alameda County, CA",2019,"842,645     ","817,355     ","25,290     ",3.0     
"Alpine County, CA",2019,542     ,514     ,28     ,5.2     
"Amador County, CA",2019,"14,828     ","14,243     ",585     ,3.9     
"Butte County, CA",2019,"98,096     ","93,025     ","5,071     ",5.2     
"Calaveras County, CA",2019,"21,349     ","20,522     ",827     ,3.9     
"Colusa County, CA",2019,"10,993     ","9,566     ","1,427     ",13.0     
"Contra Costa County, CA",2019,"560,709     ","543,096     ","17,613     ",3.1     
"Del Norte County, CA",2019,"9,635     ","9,070     ",565     ,5.9     
"El Dorado County, CA",2019,"92,296     ","88,993     ","3,303     ",3.6     
"Fresno County, CA",2019,"451,289     ","418,064     ","33,225     ",7.4     
"Glenn County, CA",2019,"13,006     ","12,196     ",810     ,6.2     
"Humboldt County, CA",2019,"62,214     ","59,932     ","2,282     ",3.7     
"Imperial County, CA",2019,"73,755     ","58,358     ","15,397     ",20.9     
"Inyo County, CA",2019,"8,767     ","8,452     ",315     ,3.6     
"Kern County, CA",2019,"388,816     ","358,105     ","30,711     ",7.9     
"Kings County, CA",2019,"57,923     ","53,281     ","4,642     ",8.0     
"Lake County, CA",2019,"29,056     ","27,555     ","1,501     ",5.2     
"Lassen County, CA",2019,"9,732     ","9,275     ",457     ,4.7     
"Los Angeles County, CA",2019,"5,153,091     ","4,926,056     ","227,035     ",4.4     
"Madera County, CA",2019,"62,204     ","57,848     ","4,356     ",7.0     
"Marin County, CA",2019,"138,811     ","135,543     ","3,268     ",2.4     
"Mariposa County, CA",2019,"7,635     ","7,281     ",354     ,4.6     
"Mendocino County, CA",2019,"38,725     ","37,159     ","1,566     ",4.0     
"Merced County, CA",2019,"115,964     ","106,423     ","9,541     ",8.2     
"Modoc County, CA",2019,"3,179     ","2,950     ",229     ,7.2     
"Mono County, CA",2019,"8,519     ","8,198     ",321     ,3.8     
"Monterey County, CA",2019,"221,536     ","207,458     ","14,078     ",6.4     
"Napa County, CA",2019,"73,342     ","71,210     ","2,132     ",2.9     
"Nevada County, CA",2019,"48,477     ","46,830     ","1,647     ",3.4     
"Orange County, CA",2019,"1,615,978     ","1,570,049     ","45,929     ",2.8     
"Placer County, CA",2019,"188,900     ","182,933     ","5,967     ",3.2     
"Plumas County, CA",2019,"7,891     ","7,275     ",616     ,7.8     
"Riverside County, CA",2019,"1,107,716     ","1,060,633     ","47,083     ",4.3     
"Sacramento County, CA",2019,"711,464     ","684,781     ","26,683     ",3.8     
"San Benito County, CA",2019,"32,316     ","30,688     ","1,628     ",5.0     
"San Bernardino County, CA",2019,"966,763     ","929,049     ","37,714     ",3.9     
"San Diego County, CA",2019,"1,582,874     ","1,531,029     ","51,845     ",3.3     
"San Francisco County/city, CA",2019,"580,597     ","567,612     ","12,985     ",2.2     
"San Joaquin County, CA",2019,"327,089     ","307,458     ","19,631     ",6.0     
"San Luis Obispo County, CA",2019,"139,838     ","135,750     ","4,088     ",2.9     
"San Mateo County, CA",2019,"457,133     ","447,577     ","9,556     ",2.1     
"Santa Barbara County, CA",2019,"222,675     ","214,501     ","8,174     ",3.7     
"Santa Clara County, CA",2019,"1,050,090     ","1,023,426     ","26,664     ",2.5     
"Santa Cruz County, CA",2019,"141,352     ","134,342     ","7,010     ",5.0     
"Shasta County, CA",2019,"72,954     ","69,421     ","3,533     ",4.8     
"Sierra County, CA",2019,"1,330     ","1,258     ",72     ,5.4     
"Siskiyou County, CA",2019,"17,188     ","16,056     ","1,132     ",6.6     
"Solano County, CA",2019,"208,423     ","200,424     ","7,999     ",3.8     
"Sonoma County, CA",2019,"257,549     ","250,486     ","7,063     ",2.7     
"Stanislaus County, CA",2019,"242,886     ","227,939     ","14,947     ",6.2     
"Sutter County, CA",2019,"45,544     ","42,143     ","3,401     ",7.5     
"Tehama County, CA",2019,"25,596     ","24,137     ","1,459     ",5.7     
"Trinity County, CA",2019,"4,652     ","4,393     ",259     ,5.6     
"Tulare County, CA",2019,"202,496     ","182,554     ","19,942     ",9.8     
"Tuolumne County, CA",2019,"20,968     ","20,003     ",965     ,4.6     
"Ventura County, CA",2019,"422,110     ","406,610     ","15,500     ",3.7     
"Yolo County, CA",2019,"108,121     ","103,583     ","4,538     ",4.2     
"Yuba County, CA",2019,"29,793     ","27,944     ","1,849     ",6.2     
"Adams County, CO",2019,"271,103     ","263,585     ","7,518     ",2.8     
"Alamosa County, CO",2019,"8,418     ","8,138     ",280     ,3.3     
"Arapahoe County, CO",2019,"361,796     ","352,585     ","9,211     ",2.5     
"Archuleta County, CO",2019,"6,845     ","6,641     ",204     ,3.0     
"Baca County, CO",2019,"2,139     ","2,105     ",34     ,1.6     
"Bent County, CO",2019,"1,851     ","1,802     ",49     ,2.6     
"Boulder County, CO",2019,"193,894     ","189,610     ","4,284     ",2.2     
"Broomfield County/city, CO",2019,"40,147     ","39,216     ",931     ,2.3     
"Chaffee County, CO",2019,"9,696     ","9,477     ",219     ,2.3     
"Cheyenne County, CO",2019,"1,129     ","1,112     ",17     ,1.5     
"Clear Creek County, CO",2019,"6,009     ","5,870     ",139     ,2.3     
"Conejos County, CO",2019,"4,126     ","3,985     ",141     ,3.4     
"Costilla County, CO",2019,"1,852     ","1,783     ",69     ,3.7     
"Crowley County, CO",2019,"1,541     ","1,479     ",62     ,4.0     
"Custer County, CO",2019,"2,045     ","1,987     ",58     ,2.8     
"Delta County, CO",2019,"14,213     ","13,765     ",448     ,3.2     
"Denver County/city, CO",2019,"416,384     ","405,807     ","10,577     ",2.5     
"Dolores County, CO",2019,"1,136     ","1,104     ",32     ,2.8     
"Douglas County, CO",2019,"195,801     ","191,411     ","4,390     ",2.2     
"Eagle County, CO",2019,"36,327     ","35,553     ",774     ,2.1     
"Elbert County, CO",2019,"15,201     ","14,888     ",313     ,2.1     
"El Paso County, CO",2019,"338,068     ","327,573     ","10,495     ",3.1     
"Fremont County, CO",2019,"14,922     ","14,276     ",646     ,4.3     
"Garfield County, CO",2019,"32,347     ","31,520     ",827     ,2.6     
"Gilpin County, CO",2019,"3,794     ","3,712     ",82     ,2.2     
"Grand County, CO",2019,"9,777     ","9,579     ",198     ,2.0     
"Gunnison County, CO",2019,"11,357     ","11,126     ",231     ,2.0     
"Hinsdale County, CO",2019,435     ,421     ,14     ,3.2     
"Huerfano County, CO",2019,"2,506     ","2,370     ",136     ,5.4     
"Jackson County, CO",2019,972     ,951     ,21     ,2.2     
"Jefferson County, CO",2019,"331,396     ","323,425     ","7,971     ",2.4     
"Kiowa County, CO",2019,948     ,934     ,14     ,1.5     
"Kit Carson County, CO",2019,"4,283     ","4,216     ",67     ,1.6     
"Lake County, CO",2019,"4,916     ","4,807     ",109     ,2.2     
"La Plata County, CO",2019,"31,627     ","30,878     ",749     ,2.4     
"Larimer County, CO",2019,"203,074     ","198,526     ","4,548     ",2.2     
"Las Animas County, CO",2019,"6,480     ","6,240     ",240     ,3.7     
"Lincoln County, CO",2019,"2,398     ","2,346     ",52     ,2.2     
"Logan County, CO",2019,"11,045     ","10,793     ",252     ,2.3     
"Mesa County, CO",2019,"75,371     ","72,931     ","2,440     ",3.2     
"Mineral County, CO",2019,516     ,504     ,12     ,2.3     
"Moffat County, CO",2019,"7,336     ","7,100     ",236     ,3.2     
"Montezuma County, CO",2019,"12,749     ","12,239     ",510     ,4.0     
"Montrose County, CO",2019,"21,589     ","20,955     ",634     ,2.9     
"Morgan County, CO",2019,"16,318     ","15,913     ",405     ,2.5     
"Otero County, CO",2019,"8,235     ","7,917     ",318     ,3.9     
"Ouray County, CO",2019,"2,417     ","2,350     ",67     ,2.8     
"Park County, CO",2019,"11,167     ","10,905     ",262     ,2.3     
"Phillips County, CO",2019,"2,578     ","2,539     ",39     ,1.5     
"Pitkin County, CO",2019,"11,032     ","10,704     ",328     ,3.0     
"Prowers County, CO",2019,"6,282     ","6,128     ",154     ,2.5     
"Pueblo County, CO",2019,"75,161     ","72,263     ","2,898     ",3.9     
"Rio Blanco County, CO",2019,"2,964     ","2,861     ",103     ,3.5     
"Rio Grande County, CO",2019,"5,400     ","5,190     ",210     ,3.9     
"Routt County, CO",2019,"16,175     ","15,843     ",332     ,2.1     
"Saguache County, CO",2019,"3,513     ","3,379     ",134     ,3.8     
"San Juan County, CO",2019,551     ,536     ,15     ,2.7     
"San Miguel County, CO",2019,"5,711     ","5,559     ",152     ,2.7     
"Sedgwick County, CO",2019,"1,186     ","1,164     ",22     ,1.9     
"Summit County, CO",2019,"22,770     ","22,383     ",387     ,1.7     
"Teller County, CO",2019,"12,684     ","12,315     ",369     ,2.9     
"Washington County, CO",2019,"2,953     ","2,898     ",55     ,1.9     
"Weld County, CO",2019,"167,882     ","163,792     ","4,090     ",2.4     
"Yuma County, CO",2019,"6,065     ","5,974     ",91     ,1.5     
"Fairfield County, CT",2019,"489,083     ","472,261     ","16,822     ",3.4     
"Hartford County, CT",2019,"493,135     ","475,091     ","18,044     ",3.7     
"Litchfield County, CT",2019,"106,930     ","103,418     ","3,512     ",3.3     
"Middlesex County, CT",2019,"95,740     ","92,857     ","2,883     ",3.0     
"New Haven County, CT",2019,"471,549     ","454,140     ","17,409     ",3.7     
"New London County, CT",2019,"139,818     ","135,051     ","4,767     ",3.4     
"Tolland County, CT",2019,"88,848     ","86,113     ","2,735     ",3.1     
"Windham County, CT",2019,"65,247     ","62,758     ","2,489     ",3.8     
"Kent County, DE",2019,"78,609     ","75,360     ","3,249     ",4.1     
"New Castle County, DE",2019,"298,726     ","287,970     ","10,756     ",3.6     
"Sussex County, DE",2019,"107,511     ","103,526     ","3,985     ",3.7     
District of Columbia,2019,"400,577     ","379,016     ","21,561     ",5.4     
"Alachua County, FL",2019,"137,788     ","133,643     ","4,145     ",3.0     
"Baker County, FL",2019,"11,913     ","11,533     ",380     ,3.2     
"Bay County, FL",2019,"83,772     ","80,572     ","3,200     ",3.8     
"Bradford County, FL",2019,"10,853     ","10,494     ",359     ,3.3     
"Brevard County, FL",2019,"281,422     ","272,198     ","9,224     ",3.3     
"Broward County, FL",2019,"1,032,434     ","1,000,261     ","32,173     ",3.1     
"Calhoun County, FL",2019,"4,762     ","4,569     ",193     ,4.1     
"Charlotte County, FL",2019,"71,321     ","68,620     ","2,701     ",3.8     
"Citrus County, FL",2019,"46,955     ","44,621     ","2,334     ",5.0     
"Clay County, FL",2019,"106,583     ","103,260     ","3,323     ",3.1     
"Collier County, FL",2019,"179,009     ","173,276     ","5,733     ",3.2     
"Columbia County, FL",2019,"29,568     ","28,578     ",990     ,3.3     
"DeSoto County, FL",2019,"14,099     ","13,588     ",511     ,3.6     
"Dixie County, FL",2019,"5,803     ","5,579     ",224     ,3.9     
"Duval County, FL",2019,"483,355     ","466,986     ","16,369     ",3.4     
"Escambia County, FL",2019,"143,613     ","138,852     ","4,761     ",3.3     
"Flagler County, FL",2019,"47,330     ","45,471     ","1,859     ",3.9     
"Franklin County, FL",2019,"4,626     ","4,455     ",171     ,3.7     
"Gadsden County, FL",2019,"18,406     ","17,626     ",780     ,4.2     
"Gilchrist County, FL",2019,"7,240     ","6,989     ",251     ,3.5     
"Glades County, FL",2019,"5,303     ","5,088     ",215     ,4.1     
"Gulf County, FL",2019,"5,156     ","4,905     ",251     ,4.9     
"Hamilton County, FL",2019,"4,270     ","4,089     ",181     ,4.2     
"Hardee County, FL",2019,"8,302     ","7,870     ",432     ,5.2     
"Hendry County, FL",2019,"15,229     ","14,299     ",930     ,6.1     
"Hernando County, FL",2019,"71,297     ","68,222     ","3,075     ",4.3     
"Highlands County, FL",2019,"35,493     ","33,817     ","1,676     ",4.7     
"Hillsborough County, FL",2019,"750,562     ","726,662     ","23,900     ",3.2     
"Holmes County, FL",2019,"6,887     ","6,637     ",250     ,3.6     
"Indian River County, FL",2019,"65,061     ","62,496     ","2,565     ",3.9     
"Jackson County, FL",2019,"16,959     ","16,349     ",610     ,3.6     
"Jefferson County, FL",2019,"5,494     ","5,306     ",188     ,3.4     
"Lafayette County, FL",2019,"2,824     ","2,739     ",85     ,3.0     
"Lake County, FL",2019,"160,397     ","155,121     ","5,276     ",3.3     
"Lee County, FL",2019,"346,012     ","334,789     ","11,223     ",3.2     
"Leon County, FL",2019,"153,627     ","148,751     ","4,876     ",3.2     
"Levy County, FL",2019,"16,578     ","15,942     ",636     ,3.8     
"Liberty County, FL",2019,"2,630     ","2,536     ",94     ,3.6     
"Madison County, FL",2019,"7,399     ","7,112     ",287     ,3.9     
"Manatee County, FL",2019,"179,186     ","173,414     ","5,772     ",3.2     
"Marion County, FL",2019,"138,048     ","132,637     ","5,411     ",3.9     
"Martin County, FL",2019,"72,737     ","70,373     ","2,364     ",3.3     
"Miami-Dade County, FL",2019,"1,377,449     ","1,340,491     ","36,958     ",2.7     
"Monroe County, FL",2019,"46,171     ","45,205     ",966     ,2.1     
"Nassau County, FL",2019,"41,497     ","40,248     ","1,249     ",3.0     
"Okaloosa County, FL",2019,"95,860     ","93,198     ","2,662     ",2.8     
"Okeechobee County, FL",2019,"17,600     ","16,972     ",628     ,3.6     
"Orange County, FL",2019,"752,910     ","730,279     ","22,631     ",3.0     
"Osceola County, FL",2019,"184,097     ","177,876     ","6,221     ",3.4     
"Palm Beach County, FL",2019,"728,819     ","704,365     ","24,454     ",3.4     
"Pasco County, FL",2019,"238,171     ","229,604     ","8,567     ",3.6     
"Pinellas County, FL",2019,"481,952     ","467,042     ","14,910     ",3.1     
"Polk County, FL",2019,"303,868     ","292,210     ","11,658     ",3.8     
"Putnam County, FL",2019,"26,345     ","25,178     ","1,167     ",4.4     
"St. Johns County, FL",2019,"134,614     ","130,970     ","3,644     ",2.7     
"St. Lucie County, FL",2019,"145,290     ","139,422     ","5,868     ",4.0     
"Santa Rosa County, FL",2019,"83,105     ","80,577     ","2,528     ",3.0     
"Sarasota County, FL",2019,"187,387     ","181,384     ","6,003     ",3.2     
"Seminole County, FL",2019,"251,959     ","244,386     ","7,573     ",3.0     
"Sumter County, FL",2019,"32,346     ","30,789     ","1,557     ",4.8     
"Suwannee County, FL",2019,"18,129     ","17,502     ",627     ,3.5     
"Taylor County, FL",2019,"8,159     ","7,858     ",301     ,3.7     
"Union County, FL",2019,"4,569     ","4,429     ",140     ,3.1     
